Sample Number,Year,Area,Vessel,Pot,Sex,Legal,Carapace length,Carapace width,Coxa walking leg 1 RIGHT,Coxa walking leg 2 RIGHT,Coxa walking leg 3 RIGHT,Coxa walking leg 1 LEFT,Coxa walking leg 2 LEFT,Coxa walking leg 3 LEFT,Comments,QC,Data Recorder,Samplers,CW Size Bin
640,2025,St James Bay,Medeia,13,M,Sublegal,104,126,20,20,21,20,20,22,,Y,,,120-129
121,2017,Excursion,Medeia,,M,Sublegal,105,127,24,24,24,24,25,25,,,,,120-129
5,2017,Peril Strait,Medeia,,M,Sublegal,103,127,24,24,24,24,24,24,,,,,120-129
179,2017,St James Bay,Medeia,,M,Sublegal,105,127,22,23,22,22,23,22,,,,,120-129
183,2017,St James Bay,Medeia,,M,Sublegal,109,127,23,25,24,24,24,24,,,,,120-129
38,2025,Juneau,Medeia,5,M,Sublegal,106,127,20,20,20,20,20,20,,AGR,SYW,"AGR, SM, TJ",120-129
556,2025,St James Bay,Medeia,13,M,Sublegal,103,127,21,21,21,20,20,21,,,,,120-129
176,2017,Excursion,Medeia,,M,Sublegal,108,128,23,24,24,23,24,23,,,,,120-129
40,2025,Juneau,Medeia,5,M,Sublegal,106,128,20,21,20,20,21,21,,AGR,SYW,"AGR, SM, TJ",120-129
158,2025,Juneau,Medeia,10,M,Sublegal,108,128,20,22,22,21,21,22,,TJ,SYW,"AGR, SM, TJ",120-129
568,2025,St James Bay,Medeia,15,M,Sublegal,107,128,22,22,22,22,22,23,,,,,120-129
144,2017,Excursion,Medeia,,M,Sublegal,106,129,22,23,22,22,21,22,,,,,120-129
170,2017,Excursion,Medeia,,M,Sublegal,107,129,23,24,23,23,24,25,,,,,120-129
25,2017,Peril Strait,Medeia,,M,Sublegal,105,129,24,24,23,23,24,23,,,,,120-129
191,2017,St James Bay,Medeia,,M,Sublegal,111,129,23,24,24,23,25,24,,,,,120-129
190,2017,St James Bay,Medeia,,M,Sublegal,107,129,24,24,23,24,25,23,,,,,120-129
186,2017,St James Bay,Medeia,,M,Sublegal,108,129,25,24,23,24,24,23,,,,,120-129
36,2025,Juneau,Medeia,5,M,Sublegal,112,129,22,23,24,22,23,24,,AGR,SYW,"AGR, SM, TJ",120-129
37,2025,Juneau,Medeia,5,M,Sublegal,105,129,19,21,20,20,21,21,,AGR,SYW,"AGR, SM, TJ",120-129
56,2025,Juneau,Medeia,5,M,Sublegal,104,129,19,21,21,19,20,22,,AGR,SYW,"AGR, SM, TJ",120-129
120,2017,Excursion,Medeia,,M,Sublegal,110,130,25,26,25,26,26,25,,,,,130-139
3,2017,Peril Strait,Medeia,,M,Sublegal,109,130,23,24,24,24,25,24,,,,,130-139
84,2025,Juneau,Medeia,6,M,Sublegal,106,130,20,21,22,20,21,21,,AGR,SYW,"AGR, SM, TJ",130-139
95,2025,Juneau,Medeia,7,M,Sublegal,108,130,21,22,21,21,23,23,,AGR,SYW,"AGR, SM, TJ",130-139
207,2025,Juneau,Medeia,13,M,Sublegal,113,130,22,22,22,22,22,23,,TJ,SYW,"AGR, SM, TJ",130-139
216,2025,Juneau,Medeia,14,M,Sublegal,111,130,23,22,24,21,23,24,,TJ,SYW,"AGR, SM, TJ",130-139
643,2025,St James Bay,Medeia,13,M,Sublegal,108,130,20,21,22,21,22,22,,Y,,,130-139
142,2017,Excursion,Medeia,,M,Sublegal,108,131,24,25,24,24,25,24,,,,,130-139
9,2025,Juneau,Medeia,3,M,Sublegal,109,131,21,21,21,21,22,21,,AGR,SYW,"AGR, SM, TJ",130-139
14,2025,Juneau,Medeia,3,M,Sublegal,109,131,21,22,22,22,22,21,,AGR,SYW,"AGR, SM, TJ",130-139
45,2025,Juneau,Medeia,5,M,Sublegal,110,131,22,22,22,22,23,24,,AGR,SYW,"AGR, SM, TJ",130-139
102,2025,Juneau,Medeia,7,M,Sublegal,111,131,21,22,22,22,22,22,,AGR,SYW,"AGR, SM, TJ",130-139
110,2025,Juneau,Medeia,7,M,Sublegal,109,131,21,21,21,21,21,21,,AGR,SYW,"AGR, SM, TJ",130-139
189,2025,Juneau,Medeia,13,M,Sublegal,111,131,22,23,23,22,24,23,,TJ,SYW,"AGR, SM, TJ",130-139
220,2025,Juneau,Medeia,14,M,Sublegal,109,131,22,21,22,22,23,22,,TJ,SYW,"AGR, SM, TJ",130-139
153,2017,Excursion,Medeia,,M,Sublegal,114,132,25,26,25,27,25,25,,,,,130-139
135,2017,Excursion,Medeia,,M,Sublegal,110,132,25,25,24,25,26,24,,,,,130-139
8,2017,Peril Strait,Medeia,,M,Sublegal,110,132,24,25,24,25,25,24,,,,,130-139
9,2017,Peril Strait,Medeia,,M,Sublegal,107,132,24,25,25,24,26,25,,,,,130-139
54,2025,Juneau,Medeia,5,M,Sublegal,110,132,20,21,23,22,23,23,,AGR,SYW,"AGR, SM, TJ",130-139
154,2025,Juneau,Medeia,9,M,Sublegal,113,132,21,21,22,21,22,23,,TJ,SYW,"AGR, SM, TJ",130-139
507,2025,St James Bay,Medeia,8,M,Sublegal,107,132,21,22,20,21,21,22,,,,,130-139
115,2017,Excursion,Medeia,,M,Sublegal,107,133,23,23,24,23,24,24,,,,,130-139
202,2025,Juneau,Medeia,13,M,Sublegal,113,133,23,23,23,23,23,24,,TJ,SYW,"AGR, SM, TJ",130-139
225,2025,Juneau,Medeia,14,M,Sublegal,110,133,22,22,23,21,23,22,,TJ,SYW,"AGR, SM, TJ",130-139
650,2025,St James Bay,Medeia,14,M,Sublegal,113,133,22,23,24,23,23,23,,Y,,,130-139
147,2017,Excursion,Medeia,,M,Sublegal,110,134,25,27,26,26,26,25,,,,,130-139
49,2025,Juneau,Medeia,5,M,Sublegal,119,134,23,24,25,24,25,26,,AGR,SYW,"AGR, SM, TJ",130-139
114,2025,Juneau,Medeia,7,M,Sublegal,112,134,21,22,22,21,22,22,,AGR,SYW,"AGR, SM, TJ",130-139
195,2025,Juneau,Medeia,13,M,Sublegal,112,134,22,22,23,23,23,23,,TJ,SYW,"AGR, SM, TJ",130-139
227,2025,Juneau,Medeia,14,M,Sublegal,114,134,22,24,23,22,23,24,,TJ,SYW,"AGR, SM, TJ",130-139
504,2025,St James Bay,Medeia,8,M,Sublegal,109,134,22,22,23,22,22,23,,,,,130-139
108,2017,Excursion,Medeia,,M,Sublegal,111,135,26,27,25,27,27,27,,,,,130-139
12,2017,Peril Strait,Medeia,,M,Sublegal,112,135,24,26,25,25,26,24,,,,,130-139
